Property Address,Property Name,Number Of Units,Star Rating,Building Class,PropertyType,Secondary Type,Affordable Type,Building Status,Market Name,Submarket Name,City,State,Zip,Avg Unit SF,Avg Asking/SF,Avg Asking/Unit,For Sale Price,Cap Rate,$Price/Unit,Sale Company Name,Sale Company Address,Sale Company City State Zip,Sale Company Phone,Sale Company Fax,Sale Company Contact,Vacancy %,Month Built,Year Built,Year Renovated,Number Of Stories,Total Buildings,Rent Type,Property Manager Name,Property Manager Contact,Property Manager Phone,PropertyID,Owner Contact,Owner Name,Number Of Parking Spaces,County Name,Amenities,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,Number Of Studios Units,Number Of Elevators,Operational Status,Latitude,Longitude,Four Bedroom Vacancy %,One Bedroom Vacancy %,Studio Vacancy %,Three Bedroom Vacancy %,Two Bedroom Vacancy %
2950 La Costa Ave,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7454,,,,,,,,,,,,,4.16,,1965,,2,2,Market,Mynd - 2950 La Costa Ave,,8333676963,9468742,Neel Pujara,Neel Pujara,,San Diego,,,8,,,,0,,33.0859780,-117.2454660,,,,,0.0
6727-6733 Luciernaga Pl,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-5818,,,,,,,,,,,,,4.16,,1986,,2,2,Market,,,,13837152,Hanny Thomas,Hanny A. Thomas,2,San Diego,,,4,,,,0,,33.1044098,-117.2490104,,,,,0.0
2523 Navarra Dr,Matchplay at La Costa,8,4,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,1670,2.92,4884,,,,,,,,,,4.16,,2007,,3,1,Market,,,,7139148,,Anvari Family 1998 Trust,20,San Diego,"Air Conditioning, Fitness Center, Playground, Spa, Tennis Court, Wheelchair Accessible (Rooms)",,8,,,,0,,33.0885150,-117.2534450,,,,,0.0
2529 Navarra Dr,Fairway Vista Luxury Townhomes,10,4,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7005,2049,2.47,5065,,,,,,,,,,10.22,,2016,,2,1,Market,Allen Properties - Fairway Vista Luxury Townhomes,Matt Bradley,9497686850,10130458,Salman Rabie,SJ Assett Management Inc,,San Diego,,,,,10,,0,,33.0885728,-117.2530829,10.0,,,,
2610-2622 Pirineos Way,Pirineos Pointe Luxury Townhouses,14,4,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7300,1640,1.99,3263,,,,,,,,,,0.06,,2003,,2,4,Market,,,,4683028,Klementyna Newkirk,Klementyna Newkirk,14,San Diego,"Air Conditioning, Fitness Center, Picnic Area, Spa, Wheelchair Accessible (Rooms)",,,14,,,0,,33.0882218,-117.2513029,,,,0.0,
7600 Sitio del Mar,Costa Pointe,58,4,A,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-7306,1694,2.58,4376,,,,,,,,,,0.56,,,,2,12,Market,CTM- Costa Pointe,,7607530202,9378719,,Kwan-Lok & Miu-Lam So,200,San Diego,"24 Hour Access, Air Conditioning, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Cabana, Grill, Walking/Biking Trails, Yard, Roof Terrace, Online Services, Sundeck, Patio, Window Coverings",,14,14,30,,0,,33.0869300,-117.2572480,0.0,,,0.0,0.0
2836-2908 Unicornio St,,12,2,C,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-4430,2200,1.21,2671,,,,,,,,,,0.67,,1987,,2,12,Market,,,,5373577,Andrew Cesare,Andrew J Cesare,12,San Diego,,,,,12,,0,,33.1097175,-117.2424767,0.0,,,,
1770-1796 Fairlead Ave,,14,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92011-3611,670,,,,,,,,,,,,4.16,,,,,1,Market,,,,11053356,David Jacinto,Harding Realty,,San Diego,,14,,,,,0,,33.1130460,-117.2754660,,7.1,,,
3108 Azahar St,,5,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-8362,,,,,,,,,,,,,4.16,,,,1,1,Market,,,,10294557,,BOWEN BOB & GINNY LIVING TRUST,,San Diego,,,,,,,0,,33.0861665,-117.2405006,,,,,
3402 Calle Odessa,Santa Fe Ranch,320,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,858,3.17,2722,,,,,,,,,,4.38,,1987,,2,20,Market,Pinnacle - Santa Fe Ranch Apts,,7609431146,691118,,TIAA,500,San Diego,"Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Spa, Tennis Court, Energy Star Labeled, Gated, Basketball Court, Grill, Racquetball Court, Volleyball Court, Wheelchair Accessible (Rooms)",64,256,,,,0,,33.0771412,-117.2349477,,4.7,,,4.3
7270 Calle Plata,Hunters Pointe,168,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,University Commons,Carlsbad,CA,92009,956,1.76,1683,,,,,,,,,,2.86,,2007,,2,9,Affordable,ConAm- Hunter's Pointe,,7604345766,8038515,,Chelsea Investment Corporation,370,San Diego,"Air Conditioning, Business Center, Clubhouse, Laundry Facilities, Picnic Area, Playground, Pool, Basketball Court, Grill, Wheelchair Accessible (Rooms)",36,61,71,,,0,,33.0990430,-117.2214860,,2.8,,2.8,3.3
7803 Centella St,Centella Townhomes,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-8317,988,2.49,2462,,,,,,,,,,2.71,,1979,,2,1,Market,Chamberlain - Centella Apartments,,7604347373,7146285,Jing Zeng,Jing Zeng Living Trust,20,San Diego,,,9,,,,0,,33.0806342,-117.2394452,,,,,0.0
2918-2924 Luciernaga St,,12,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,,,,,,,,,,,,,4.16,,1987,,2,3,Market,,,,4033333,Satish Grover,Satish Grover,31,San Diego,,,,,,,0,,33.1071549,-117.2415188,,,,,
1820 Melrose Dr,Melrose Villa Apartments,114,4,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,University Commons,San Marcos,CA,92078-2116,899,1.13,1016,,,,,,,,,,0.93,,2006,,3,3,Affordable,National CORE - Melrose Villas Apartments,,7607987500,6796887,Pat Whitaker,National Community Renaissance,55,San Diego,"Air Conditioning, Business Center, Playground, Property Manager on Site, Walking/Biking Trails, Wheelchair Accessible (Rooms)",38,38,38,,,0,,33.1043243,-117.2154136,,0.0,,0.0,0.0
1935 Northstar Way,Camden Old Creek,350,4,B,Multi-Family,Apartments,,Existing,San Diego,University Commons,San Marcos,CA,92078,1037,3.33,3454,,,,,,,,,,1.26,,2007,,3,10,Market,Camden - Camden Old Creek,,7605101005,7769345,,Camden Property Trust,700,San Diego,"24 Hour Access, Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Pool, Spa, Gated, Grill, Pet Play Area, Planned Social Activities, Pantry, Patio, Wheelchair Accessible (Rooms)",103,163,84,,,0,,33.0973162,-117.2173558,,1.0,,1.2,1.2
6505 Paseo Frontera,Ridgeview,69,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,1097,2.16,2374,,,,,,,,,,1.04,,,,2,24,Market,La Miller - Ridgeview Condominiums,,7604385801,8222519,,Yvonne J Boseker,220,San Diego,"Spa, Wheelchair Accessible (Rooms)",,63,6,,,0,,33.1106850,-117.2379810,,,,0.0,1.6
2855 Unicornio St,Unicornio Apartments,8,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009-4434,993,2.88,2957,,,,,,,,,,2.62,,1997,,2,1,Market,CTM - Unicornio Apartments,,,840656,Elizabeth Dabby,"Danmor Investments, Inc.",12,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",,8,,,,0,,33.1093700,-117.2419990,,,,,0.0
2937-2949 Unicornio St,Sommerset La Costa,48,3,B,Multi-Family,Apartments,,Existing,San Diego,Carlsbad,Carlsbad,CA,92009,1100,2.93,3222,,,,,,,,,,4.09,,1986,,2,1,Market,River Oaks - Sommerset La Costa,,7609319176,6317083,,River Oaks Management Inc.,117,San Diego,"24 Hour Access, Courtyard, Picnic Area, Property Manager on Site, Spa, Corporate Suites, Grill, Maintenance on site, Grill, Pantry",,48,,,,0,,33.1097920,-117.2405420,,,,,4.2
3313 Calle Cobre,,16,3,B,Multi-Family,Apartments,,Existing,San Diego,University Commons,Carlsbad,CA,92009-2010,,,,,,,,,,,,,3.61,1,2007,,3,1,Market,,,,19680422,,CONAM Management Corporation,,San Diego,"24 Hour Access, Air Conditioning, Controlled Access",16,,,,,0,,33.0954407,-117.2231159,,6.3,,,
1231 Elfin Forest Rd,Bldg G,3,3,B,Multi-Family (Neighborhood Center),Apartments,,Existing,San Diego,San Marcos,San Marcos,CA,92078,,,,,,,,,,,,,3.61,8,2009,,3,,Market,,,,7249693,,"Ambient Communities, Inc.",5,San Diego,,,,,,,0,,33.0975822,-117.1997613,,,,,
1710 Elfin Forest Rd,Copper Creek Apartment Homes,204,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,San Marcos,San Marcos,CA,92078,854,1.35,1155,,,,,,,,,,0.08,,2004,,3,14,Affordable,BRIDGE - Copper Creek,,7605100210,8222500,Martin Leung,BRIDGE Housing Corporation,540,San Diego,"24 Hour Access, Air Conditioning, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Grill, Wheelchair Accessible (Rooms)",56,70,78,,,0,,33.0963504,-117.1981762,,0.0,,0.0,0.0
1501-1507 San Elijo Rd,Bldg H,5,3,B,Multi-Family (Neighborhood Center),Apartments,,Existing,San Diego,San Marcos,San Marcos,CA,92078,,,,,,,,,,,,,3.61,8,2009,,3,,Market,,,,7249691,,,6,San Diego,,,,,,,0,,33.0973865,-117.1999524,,,,,
1523 San Elijo Rd,Bldg J,4,3,B,Multi-Family (Neighborhood Center),Apartments,,Existing,San Diego,San Marcos,San Marcos,CA,92078,,,,,,,,,,,,,3.61,8,2009,,3,,Market,,,,7249692,,"Ambient Communities, Inc.",6,San Diego,,,,,,,0,,33.0971019,-117.2001966,,,,,
1010 Stephanie St,Sage Canyon,72,4,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,San Marcos,San Marcos,CA,92078,881,0.66,583,,,,,,,,,,1.82,,2006,,3,5,Affordable,BRIDGE - Sage Canyon Apartments,,7607989113,8222509,Martin Leung,BRIDGE Housing Corporation,160,San Diego,"Air Conditioning, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Gameroom, Smoke Free, Wheelchair Accessible (Rooms)",14,28,30,,,0,,33.1028290,-117.1926440,,0.0,,0.0,3.6
1020 Stephanie Ct,Sage Canyon Apartments,18,3,B,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,San Marcos,San Marcos,CA,92078-2032,550,,,,,,,,,,,,2.61,,,,,2,Affordable,,,,11404163,,Terry S Cravit,,San Diego,,18,,,,,0,,33.1032930,-117.1923377,,0.0,,,
1776 Country Club Dr,,3,1,C,Multi-Family,Apartments,,Existing,San Diego,West Ridge,Escondido,CA,92029-2705,,,,,,,,,,,,,3.61,,1945,,,2,,,,,11553924,Harley Jones,Harley Jones & Sarah Jones,,San Diego,,2,,,1,,0,,33.1082900,-117.1273700,0.0,0.0,,,
835 W 5th Ave,,6,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-3976,,,,,,,,,,,,,3.61,,1947,,1,6,Market,,,,9472225,Ernest Garcia,Ernest & Susan Garcia,5,San Diego,,6,,,,,0,,33.1127544,-117.0890422,,0.0,,,
627 W 6th Ave,,2,1,,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-4028,,,,,,,,,,,,,3.61,,1952,,2,2,Market,,,,10893980,,Kamp North Llc,,San Diego,,,,2,,,0,,33.1132100,-117.0854600,,,,0.0,
643 W 6th Ave,,3,2,,Multi-Family,,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1029,,,,,,,,,,,,3.61,,1960,2000,1,,Market,,,,14881284,,,2,San Diego,,,2,1,,,0,,33.1130750,-117.0857470,,,,0.0,0.0
724 W 6th Ave,,7,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,1262,,,,,,,,,,,,0.07,,1990,,2,2,Market,William J. & Joan Elder,William Elder,7605990434,4033624,William Elder,William J. & Joan Elder,29,San Diego,Air Conditioning,,,7,,,0,,33.1131740,-117.0869190,,,,0.0,
432-446 W 7th Ave,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-4837,514,2.38,1225,,,,,,,,,,3.61,,1924,,2,2,Market,,,,9484451,Craig Logan,"Logan Family Properties, Inc.",5,San Diego,,4,2,1,,,0,,33.1141342,-117.0826675,,0.0,,0.0,0.0
820-822 W 7th Ave,,5,3,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-3902,1091,1.39,1520,,,,,,,,,,3.61,,2000,,1,2,Market,,,,4398015,,Ess Realty Ii,15,San Diego,"Air Conditioning, Wheelchair Accessible (Rooms)",,5,,,,0,,33.1114640,-117.0880750,,,,,0.0
931-943 W 9th Ave,,5,1,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-3965,723,,,,,,,,,,,,3.61,,1960,,1,3,Market,,,,9473034,Nhan Minh Vo,Kv Five Managment Llc,14,San Diego,,1,4,,,,0,,33.1084351,-117.0877859,,0.0,,,0.0
1357 W 9th Ave,The Nines,22,2,C,Multi-Family,Apartments,,Existing,San Diego,Felicita,Escondido,CA,92029-2288,1038,2.73,2832,,,,,,,,,,0.62,,,,2,3,Market,CTM - The Nines,,7606039595,9471427,Steve Moss,Pacific View Realty,,San Diego,"Air Conditioning, Spa, Tennis Court, Recycling",,22,,,,0,,33.1088174,-117.1017755,,,,,0.0
1361 W 9th Ave,Altair,264,3,B,Multi-Family,Apartments,,Existing,San Diego,Felicita,Escondido,CA,92029-2209,807,3.45,2787,,,,,,,,,,4.55,,1987,,2,18,Market,Greystar - Altair,,7607464844,4054193,Scott Dale,R&V Management Corporation,522,San Diego,"Air Conditioning, Clubhouse, Fitness Center, Playground, Spa, Tennis Court, Volleyball Court, Lounge, Pantry, Patio",80,184,,,,0,,33.1102360,-117.1030620,,5.0,,,4.4
1600 W 9th Ave,Windsor Gardens,132,2,C,Multi-Family,Apartments,Rent Restricted,Existing,San Diego,Vineyard,Escondido,CA,92029,504,2.65,1339,,,,,,,,,,0.18,,1977,,1,32,Affordable,Con Am - Windsor Gardens,,7607415606,8360701,,Community HousingWorks,66,San Diego,,132,,,,,0,,33.1121370,-117.1060280,,0.0,,,
910-930 W 10th Ave,,7,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,1,4,Market,,,,8225575,,Thomas R Mccormack,10,San Diego,,3,4,,,,0,,33.1082158,-117.0872319,,0.0,,,0.0
1500 W 11th Ave,Diamond Pointe,23,2,B,Multi-Family,Apartments,,Existing,San Diego,Felicita,Escondido,CA,92029-2271,1200,2.24,2690,,,,,,,,,,0.27,,1988,,2,3,Market,Golden Cities - Diamond Pointe,,7607400885,7339966,,KF Stephens Inc,90,San Diego,"Air Conditioning, Recycling, Wheelchair Accessible (Rooms)",,,23,,,0,,33.1067110,-117.1011810,,,,0.0,
970 W 13th Ave,Escondido Apartments,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5553,743,1.60,1191,,,,,,,,,,3.61,,1965,,2,1,Market,Escondido Apartments,,8587596984,4099852,,James E. Harrison,16,San Diego,,,16,,,,0,,33.1052310,-117.0857750,,,,,6.3
921-929 W 15th Ave,,5,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025-5543,970,,,,,,,,,,,,3.61,,1963,,1,3,Market,921 W. 15th Ave.,,7142737015,4553042,Judith Fizzard,The Fizzard Family Trust,10,San Diego,Air Conditioning,,4,1,,,0,,33.1032960,-117.0835430,,,,0.0,0.0
1751 Citracado Pky,Casa De Amigos,138,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Vineyard,Escondido,CA,92029-4157,,,,,,,,,,,,,3.61,,1975,,1,140,Market,Rutherford MHC - Casa de Amigos,,7607463971,11572893,Patrick Mockler,Rutherford Investments,138,San Diego,"Clubhouse, Pool",,,,,,0,,33.1004762,-117.1156505,,,,,
910 Del Dios Hwy,Hidden Cove Apartments,452,3,C,Multi-Family,Apartments,,Existing,San Diego,Felicita,Escondido,CA,92029,880,2.85,2512,,,,,,,,,,0.71,,1983,,2,29,Market,AIR - Hidden Cove Apartments,,7607473092,1151213,,Blackstone Inc.,200,San Diego,"Courtyard, Fitness Center, Laundry Facilities, Playground, Pool, Grill, Sundeck, Key Fob Entry",148,304,,,,0,,33.1081958,-117.0990236,,0.7,,,0.7
9704 Del Dios Hwy,,3,2,C,Multi-Family,Apartments,,Existing,San Diego,West Ridge,Escondido,CA,92029-6411,,,,,,,,,,,,,3.61,,1944,,1,1,Market,,,,10374800,,Freistat Family Trust,,San Diego,,,,,,,0,,33.0795402,-117.1201842,,,,,
1006 Del Dios Rd,Pepper Tree Luxury Apartments,45,2,C,Multi-Family,Apartments,,Existing,San Diego,Felicita,Escondido,CA,92029,,,2377,,,,,,,,,,,,,,2,3,Market,Valor - Pepper Tree Luxury Apartmetns,,7608959376,7339967,,Stuart I. & Susan Wilson,90,San Diego,"Air Conditioning, Laundry Facilities, Property Manager on Site, Wheelchair Accessible (Rooms)",,,45,,,0,,33.1069420,-117.1001740,,,,0.0,
1401 Ferrara Ct,,1,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,,,,,,,,,,,,,3.61,,,,1,,Market,,,,7345994,,Ngo Steven T,5,San Diego,,,,,,,0,,33.1036670,-117.0864470,,,,,
902-906 S Hale Ave,,9,2,C,Multi-Family,Apartments,,Existing,San Diego,Vineyard,Escondido,CA,92029-2156,896,,,,,,,,,,,,3.61,,1969,,2,3,Market,,,,4186125,,Mary Walker,9,San Diego,Laundry Facilities,,9,,,,0,,33.1116987,-117.1068224,,,,,0.0
905 S Hale Ave,The Pines,16,2,C,Multi-Family,Apartments,,Existing,San Diego,Vineyard,Escondido,CA,92029,1000,,,,,,,,,,,,0.67,,1980,,2,2,Market,Pines Apartments,William Lum,7607381541,4033392,William Lum,William Lum,32,San Diego,,,16,,,,0,,33.1120789,-117.1080751,,,,,0.0
920 S Hale Ave,Parkdale Apartments,47,2,B,Multi-Family,Apartments,,Existing,San Diego,Vineyard,Escondido,CA,92029-2163,822,1.56,1284,,,,,,,,,,0.58,,1977,,2,3,Market,Norco- Parkdale Apartment,,7607431262,4294741,,Alsation Land Company,94,San Diego,"Laundry Facilities, Spa, Recreation Room",23,24,,,,0,,33.1105600,-117.1071220,,0.0,,,0.0
1001 S Hale Ave,Casa Grande,80,3,B,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Vineyard,Escondido,CA,92029-2174,,,,,,,,,,,,,3.61,,2000,,1,,,,,,5490988,,Lonnie Laster,80,San Diego,Wheelchair Accessible (Rooms),,,,,,0,,33.1102400,-117.1091510,,,,,
1040 S Hale Ave,Whispering Pines Apartments,60,2,C,Multi-Family,Apartments,,Existing,San Diego,Vineyard,Escondido,CA,92029-2181,976,1.87,1829,,,,,,,,,,2.75,,1979,,2,5,Market,Huntington - Whispering Pines,Julia Vega,7608395322,5490398,,Jen I Chuang,120,San Diego,"Air Conditioning, Laundry Facilities, Recycling, Trash Pickup - Curbside",,60,,,,0,,33.1097520,-117.1084120,,,,,3.3
900 Howard Ave,Moonglow Mobile Home Park,80,2,C,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Vineyard,Escondido,CA,92029-2023,,,,,,,,,,,,,3.61,,2000,,1,,,,,,5490896,,Germaine Malek,80,San Diego,Wheelchair Accessible (Rooms),,,,,,0,,33.1135220,-117.1093680,,,,,
955 Howard Ave,Villa Madeira,100,3,B,Multi-Family,Manufactured Housing/Mobile Home Park,,Existing,San Diego,Vineyard,Escondido,CA,92029-2014,,,,,,,,,,,,,3.61,,2000,,1,,,Villa Madeira Property Owners Association Inc,,7607435010,5497256,,Dorothy L Scott,12,San Diego,Wheelchair Accessible (Rooms),,,,,,0,,33.1140070,-117.1112670,,,,,
385 Lake Dr.,,3,2,,Multi-Family,,,Existing,San Diego,West Ridge,Escondido,CA,92029,,,,,,,,,,,,,3.61,,1929,,2,,Market,,,,17503963,,,6,San Diego,"Yard, Patio",1,1,1,,,0,,33.0765000,-117.1184680,,0.0,,0.0,0.0
711-721 S Pine St,,6,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,385,2.30,884,,,,,,,,,,3.61,,1954,,1,1,Market,,,,1299827,David Copeland,David S & Lori E Copeland,5,San Diego,Laundry Facilities,,,,,6,0,,33.1131740,-117.0830810,,,0.0,,
753-759 S Quince St,,8,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,550,,,,,,,,,,,,0.61,,1960,,2,2,Market,Dale Thorsell,Dale Thorsell,7603104082,4032884,Dale Thorsell,Dale Thorsell,9,San Diego,,8,,,,,0,,33.1120610,-117.0841150,,0.0,,,
771-777 Tulip St,,4,2,C,Multi-Family,Apartments,,Existing,San Diego,Central Escondido,Escondido,CA,92025,719,1.69,1216,,,,,,,,,,3.61,,1964,,2,1,Market,,,,5904197,,Thomas R Mccormack,6,San Diego,,3,1,,,,0,,33.1097472,-117.0884458,,0.0,,,0.0
